ModelName,NumGamesPlayed,Statistic,Score,BlockHits,PaddleHits,TimePlayed,WinPercentage
Paddle - bo_05,200,Minimum,10,0,0,0.04,0
Paddle - bo_05,200,Average,20.85,2.06,0.16,2.69,0
Paddle - bo_05,200,Maximum,190,19,4,99.02,0
