ModelName,NumGamesPlayed,ID_RunTime,Statistic,Score,BlockHits,PaddleHits,TimePlayed,WinPercentage
Paddle - lc_33_2M,2000,2/28/2021 8:37:55 PM,Minimum,0,0,0,0.42,0.0185
Paddle - lc_33_2M,2000,2/28/2021 8:37:55 PM,Average,76.67,7.67,2.86,10.51,0.0185
Paddle - lc_33_2M,2000,2/28/2021 8:37:55 PM,Maximum,210,21,258,389.22,0.0185
