ModelName,NumGamesPlayed,ID_RunTime,Statistic,Score,BlockHits,PaddleHits,TimePlayed,WinPercentage
Paddle - lc_31_1M,2000,2/28/2021 8:00:39 PM,Minimum,0,0,0,0.06,0.006
Paddle - lc_31_1M,2000,2/28/2021 8:00:39 PM,Average,64.82,6.48,2.47,8.81,0.006
Paddle - lc_31_1M,2000,2/28/2021 8:00:39 PM,Maximum,210,21,413,626.6,0.006
