ModelName,GameNumber,ID_RunTime,NumGamesPlayed,Score,BlockHits,PaddleHits,TimePlayed,WinStatus
Paddle - lc_23,1,2000,2/28/2021 11:40:50 AM,40,4,3,115.26,0
Paddle - lc_23,2,2000,2/28/2021 11:40:50 AM,150,15,6,25.29,0
Paddle - lc_23,3,2000,2/28/2021 11:40:50 AM,10,1,3,3.09,0
Paddle - lc_23,4,2000,2/28/2021 11:40:50 AM,0,0,3,6.2,0
Paddle - lc_23,5,2000,2/28/2021 11:40:50 AM,60,6,1,4.45,0
Paddle - lc_23,6,2000,2/28/2021 11:40:50 AM,200,20,12,26,0
Paddle - lc_23,7,2000,2/28/2021 11:40:50 AM,40,4,4,8.92,0
Paddle - lc_23,8,2000,2/28/2021 11:40:50 AM,10,1,1,2.34,0
Paddle - lc_23,9,2000,2/28/2021 11:40:50 AM,170,17,4,11.83,0
Paddle - lc_23,10,2000,2/28/2021 11:40:50 AM,200,20,14,38.89,0
Paddle - lc_23,11,2000,2/28/2021 11:40:50 AM,200,20,4,26.06,0
Paddle - lc_23,12,2000,2/28/2021 11:40:50 AM,10,1,0,0.56,0
Paddle - lc_23,13,2000,2/28/2021 11:40:50 AM,110,11,4,7.78,0
Paddle - lc_23,14,2000,2/28/2021 11:40:50 AM,210,21,9,29.89,1
Paddle - lc_23,15,2000,2/28/2021 11:40:50 AM,40,4,6,9.12,0
Paddle - lc_23,16,2000,2/28/2021 11:40:50 AM,120,12,5,12.54,0
Paddle - lc_23,17,2000,2/28/2021 11:40:50 AM,210,21,8,49.88,1
Paddle - lc_23,18,2000,2/28/2021 11:40:50 AM,210,21,5,31.52,1
Paddle - lc_23,19,2000,2/28/2021 11:40:50 AM,70,7,4,6.28,0
Paddle - lc_23,20,2000,2/28/2021 11:40:50 AM,110,11,1,8.18,0
Paddle - lc_23,21,2000,2/28/2021 11:40:50 AM,210,21,8,21.94,1
Paddle - lc_23,22,2000,2/28/2021 11:40:50 AM,210,21,5,25.2,1
Paddle - lc_23,23,2000,2/28/2021 11:40:50 AM,190,19,2,41.92,0
Paddle - lc_23,24,2000,2/28/2021 11:40:50 AM,70,7,3,4.77,0
Paddle - lc_23,25,2000,2/28/2021 11:40:50 AM,60,6,6,8.6,0
Paddle - lc_23,26,2000,2/28/2021 11:40:50 AM,110,11,4,8.25,0
Paddle - lc_23,27,2000,2/28/2021 11:40:50 AM,30,3,1,3.95,0
Paddle - lc_23,28,2000,2/28/2021 11:40:50 AM,120,12,1,7.5,0
Paddle - lc_23,29,2000,2/28/2021 11:40:50 AM,190,19,4,35.14,0
Paddle - lc_23,30,2000,2/28/2021 11:40:50 AM,100,10,3,7.48,0
Paddle - lc_23,31,2000,2/28/2021 11:40:50 AM,180,18,1,10.02,0
Paddle - lc_23,32,2000,2/28/2021 11:40:50 AM,210,21,9,34.03,1
Paddle - lc_23,33,2000,2/28/2021 11:40:50 AM,210,21,9,53.12,1
Paddle - lc_23,34,2000,2/28/2021 11:40:50 AM,210,21,4,22.18,1
Paddle - lc_23,35,2000,2/28/2021 11:40:50 AM,210,21,8,35.5,1
Paddle - lc_23,36,2000,2/28/2021 11:40:50 AM,180,18,7,19,0
Paddle - lc_23,37,2000,2/28/2021 11:40:50 AM,0,0,2,2.48,0
Paddle - lc_23,38,2000,2/28/2021 11:40:50 AM,160,16,2,21.13,0
Paddle - lc_23,39,2000,2/28/2021 11:40:50 AM,110,11,6,11.33,0
Paddle - lc_23,40,2000,2/28/2021 11:40:50 AM,180,18,5,12.15,0
Paddle - lc_23,41,2000,2/28/2021 11:40:50 AM,100,10,6,9.16,0
Paddle - lc_23,42,2000,2/28/2021 11:40:50 AM,110,11,4,9.36,0
Paddle - lc_23,43,2000,2/28/2021 11:40:50 AM,140,14,11,21.71,0
Paddle - lc_23,44,2000,2/28/2021 11:40:50 AM,150,15,4,13.69,0
Paddle - lc_23,45,2000,2/28/2021 11:40:50 AM,210,21,10,28.51,1
Paddle - lc_23,46,2000,2/28/2021 11:40:50 AM,180,18,10,18.22,0
Paddle - lc_23,47,2000,2/28/2021 11:40:50 AM,40,4,3,4.97,0
Paddle - lc_23,48,2000,2/28/2021 11:40:50 AM,190,19,21,48.65,0
Paddle - lc_23,49,2000,2/28/2021 11:40:50 AM,190,19,6,20.01,0
