ModelName,GameNumber,ID_RunTime,NumGamesPlayed,Score,BlockHits,PaddleHits,TimePlayed,WinStatus
Paddle - lc_25,1,2000,2/28/2021 12:59:53 AM,80,8,3,117.16,0
Paddle - lc_25,2,2000,2/28/2021 12:59:53 AM,70,7,6,9.52,0
Paddle - lc_25,3,2000,2/28/2021 12:59:53 AM,210,21,7,36.63,1
Paddle - lc_25,4,2000,2/28/2021 12:59:53 AM,70,7,1,3.55,0
Paddle - lc_25,5,2000,2/28/2021 12:59:53 AM,170,17,4,18.48,0
Paddle - lc_25,6,2000,2/28/2021 12:59:53 AM,210,21,11,53.03,1
Paddle - lc_25,7,2000,2/28/2021 12:59:53 AM,200,20,6,23.03,0
Paddle - lc_25,8,2000,2/28/2021 12:59:53 AM,210,21,6,29.62,1
Paddle - lc_25,9,2000,2/28/2021 12:59:53 AM,80,8,0,4.25,0
Paddle - lc_25,10,2000,2/28/2021 12:59:53 AM,210,21,8,35.34,1
Paddle - lc_25,11,2000,2/28/2021 12:59:53 AM,210,21,11,28.47,1
Paddle - lc_25,12,2000,2/28/2021 12:59:53 AM,160,16,3,10.2,0
Paddle - lc_25,13,2000,2/28/2021 12:59:53 AM,210,21,6,24.3,1
Paddle - lc_25,14,2000,2/28/2021 12:59:53 AM,90,9,2,5.39,0
Paddle - lc_25,15,2000,2/28/2021 12:59:53 AM,80,8,5,7.56,0
Paddle - lc_25,16,2000,2/28/2021 12:59:53 AM,180,18,7,13.11,0
Paddle - lc_25,17,2000,2/28/2021 12:59:53 AM,180,18,6,18.12,0
Paddle - lc_25,18,2000,2/28/2021 12:59:53 AM,210,21,5,26.89,1
Paddle - lc_25,19,2000,2/28/2021 12:59:53 AM,70,7,2,4.29,0
Paddle - lc_25,20,2000,2/28/2021 12:59:53 AM,100,10,7,9.61,0
Paddle - lc_25,21,2000,2/28/2021 12:59:53 AM,80,8,3,4.49,0
Paddle - lc_25,22,2000,2/28/2021 12:59:53 AM,90,9,6,5.87,0
Paddle - lc_25,23,2000,2/28/2021 12:59:53 AM,180,18,4,9.9,0
Paddle - lc_25,24,2000,2/28/2021 12:59:53 AM,140,14,12,32.92,0
Paddle - lc_25,25,2000,2/28/2021 12:59:53 AM,70,7,1,7.58,0
Paddle - lc_25,26,2000,2/28/2021 12:59:53 AM,40,4,3,4.81,0
Paddle - lc_25,27,2000,2/28/2021 12:59:53 AM,150,15,3,9.84,0
Paddle - lc_25,28,2000,2/28/2021 12:59:53 AM,140,14,2,8.18,0
Paddle - lc_25,29,2000,2/28/2021 12:59:53 AM,130,13,3,7.22,0
Paddle - lc_25,30,2000,2/28/2021 12:59:53 AM,120,12,17,27.3,0
Paddle - lc_25,31,2000,2/28/2021 12:59:53 AM,40,4,2,3.73,0
Paddle - lc_25,32,2000,2/28/2021 12:59:53 AM,90,9,4,7.78,0
Paddle - lc_25,33,2000,2/28/2021 12:59:53 AM,80,8,3,5.18,0
Paddle - lc_25,34,2000,2/28/2021 12:59:53 AM,210,21,6,14.69,1
Paddle - lc_25,35,2000,2/28/2021 12:59:53 AM,200,20,8,28.28,0
Paddle - lc_25,36,2000,2/28/2021 12:59:53 AM,150,15,6,12.25,0
Paddle - lc_25,37,2000,2/28/2021 12:59:53 AM,140,14,9,15.6,0
Paddle - lc_25,38,2000,2/28/2021 12:59:53 AM,130,13,4,9.68,0
Paddle - lc_25,39,2000,2/28/2021 12:59:53 AM,160,16,7,12.35,0
Paddle - lc_25,40,2000,2/28/2021 12:59:53 AM,190,19,6,12.97,0
Paddle - lc_25,41,2000,2/28/2021 12:59:53 AM,180,18,3,9.26,0
Paddle - lc_25,42,2000,2/28/2021 12:59:53 AM,170,17,5,16.2,0
Paddle - lc_25,43,2000,2/28/2021 12:59:53 AM,160,16,3,15.11,0
Paddle - lc_25,44,2000,2/28/2021 12:59:53 AM,50,5,2,1.94,0
Paddle - lc_25,45,2000,2/28/2021 12:59:53 AM,120,12,5,11.02,0
Paddle - lc_25,46,2000,2/28/2021 12:59:53 AM,210,21,2,17.58,1
Paddle - lc_25,47,2000,2/28/2021 12:59:53 AM,190,19,8,11.66,0
Paddle - lc_25,48,2000,2/28/2021 12:59:53 AM,80,8,4,5.87,0
Paddle - lc_25,49,2000,2/28/2021 12:59:53 AM,30,3,1,4.78,0
Paddle - lc_25,50,2000,2/28/2021 12:59:53 AM,210,21,25,84.6,1
Paddle - lc_25,51,2000,2/28/2021 12:59:53 AM,140,14,4,11.43,0
Paddle - lc_25,52,2000,2/28/2021 12:59:53 AM,210,21,10,14.69,1
Paddle - lc_25,53,2000,2/28/2021 12:59:53 AM,50,5,4,4.71,0
Paddle - lc_25,54,2000,2/28/2021 12:59:53 AM,60,6,6,10.96,0
Paddle - lc_25,55,2000,2/28/2021 12:59:53 AM,20,2,1,3.67,0
Paddle - lc_25,56,2000,2/28/2021 12:59:53 AM,210,21,8,27.72,1
Paddle - lc_25,57,2000,2/28/2021 12:59:53 AM,140,14,8,21.98,0
Paddle - lc_25,58,2000,2/28/2021 12:59:53 AM,180,18,0,11.95,0
Paddle - lc_25,59,2000,2/28/2021 12:59:53 AM,210,21,7,19.52,1
Paddle - lc_25,60,2000,2/28/2021 12:59:53 AM,70,7,3,5.15,0
Paddle - lc_25,61,2000,2/28/2021 12:59:53 AM,210,21,8,20.74,1
Paddle - lc_25,62,2000,2/28/2021 12:59:53 AM,200,20,5,17.56,0
Paddle - lc_25,63,2000,2/28/2021 12:59:53 AM,40,4,2,5.35,0
Paddle - lc_25,64,2000,2/28/2021 12:59:53 AM,210,21,10,18.72,1
Paddle - lc_25,65,2000,2/28/2021 12:59:53 AM,200,20,14,41.58,0
Paddle - lc_25,66,2000,2/28/2021 12:59:53 AM,210,21,7,43.68,1
Paddle - lc_25,67,2000,2/28/2021 12:59:53 AM,130,13,8,15.17,0
Paddle - lc_25,68,2000,2/28/2021 12:59:53 AM,30,3,4,4.68,0
Paddle - lc_25,69,2000,2/28/2021 12:59:53 AM,190,19,9,15.99,0
Paddle - lc_25,70,2000,2/28/2021 12:59:53 AM,200,20,14,27.72,0
Paddle - lc_25,71,2000,2/28/2021 12:59:53 AM,160,16,5,11.29,0
Paddle - lc_25,72,2000,2/28/2021 12:59:53 AM,80,8,1,3,0
Paddle - lc_25,73,2000,2/28/2021 12:59:53 AM,210,21,6,26.92,1
Paddle - lc_25,74,2000,2/28/2021 12:59:53 AM,200,20,13,25.38,0
Paddle - lc_25,75,2000,2/28/2021 12:59:53 AM,210,21,13,36.52,1
Paddle - lc_25,76,2000,2/28/2021 12:59:53 AM,10,1,0,0.18,0
Paddle - lc_25,77,2000,2/28/2021 12:59:53 AM,50,5,10,26.08,0
Paddle - lc_25,78,2000,2/28/2021 12:59:53 AM,210,21,8,32.45,1
Paddle - lc_25,79,2000,2/28/2021 12:59:53 AM,200,20,8,26.9,0
Paddle - lc_25,80,2000,2/28/2021 12:59:53 AM,180,18,3,14.83,0
Paddle - lc_25,81,2000,2/28/2021 12:59:53 AM,70,7,3,6.58,0
Paddle - lc_25,82,2000,2/28/2021 12:59:53 AM,210,21,7,15.54,1
Paddle - lc_25,83,2000,2/28/2021 12:59:53 AM,210,21,12,34.16,1
Paddle - lc_25,84,2000,2/28/2021 12:59:53 AM,190,19,7,19.55,0
Paddle - lc_25,85,2000,2/28/2021 12:59:53 AM,120,12,2,10.33,0
Paddle - lc_25,86,2000,2/28/2021 12:59:53 AM,210,21,11,29.83,1
Paddle - lc_25,87,2000,2/28/2021 12:59:53 AM,50,5,0,2.46,0
Paddle - lc_25,88,2000,2/28/2021 12:59:53 AM,210,21,8,31.27,1
Paddle - lc_25,89,2000,2/28/2021 12:59:53 AM,160,16,0,7.14,0
Paddle - lc_25,90,2000,2/28/2021 12:59:53 AM,210,21,9,26.98,1
Paddle - lc_25,91,2000,2/28/2021 12:59:53 AM,170,17,8,15.53,0
Paddle - lc_25,92,2000,2/28/2021 12:59:53 AM,210,21,10,20.13,1
Paddle - lc_25,93,2000,2/28/2021 12:59:53 AM,120,12,6,8.2,0
Paddle - lc_25,94,2000,2/28/2021 12:59:53 AM,90,9,4,14.19,0
Paddle - lc_25,95,2000,2/28/2021 12:59:53 AM,210,21,13,37.41,1
Paddle - lc_25,96,2000,2/28/2021 12:59:53 AM,210,21,11,22.58,1
Paddle - lc_25,97,2000,2/28/2021 12:59:53 AM,180,18,3,24.3,0
Paddle - lc_25,98,2000,2/28/2021 12:59:53 AM,170,17,4,14.91,0
Paddle - lc_25,99,2000,2/28/2021 12:59:53 AM,210,21,11,57.8,1
Paddle - lc_25,100,2000,2/28/2021 12:59:53 AM,130,13,6,13.28,0
Paddle - lc_25,101,2000,2/28/2021 12:59:53 AM,120,12,6,13.4,0
Paddle - lc_25,102,2000,2/28/2021 12:59:53 AM,210,21,9,36.07,1
Paddle - lc_25,103,2000,2/28/2021 12:59:53 AM,110,11,6,10.06,0
Paddle - lc_25,104,2000,2/28/2021 12:59:53 AM,40,4,5,10.24,0
Paddle - lc_25,105,2000,2/28/2021 12:59:53 AM,110,11,3,4.6,0
Paddle - lc_25,106,2000,2/28/2021 12:59:53 AM,200,20,14,35.98,0
Paddle - lc_25,107,2000,2/28/2021 12:59:53 AM,70,7,6,15,0
Paddle - lc_25,108,2000,2/28/2021 12:59:53 AM,0,0,0,2.52,0
Paddle - lc_25,109,2000,2/28/2021 12:59:53 AM,130,13,1,17.37,0
Paddle - lc_25,110,2000,2/28/2021 12:59:53 AM,210,21,6,18.89,1
Paddle - lc_25,111,2000,2/28/2021 12:59:53 AM,160,16,16,32.34,0
Paddle - lc_25,112,2000,2/28/2021 12:59:53 AM,210,21,3,59.25,1
Paddle - lc_25,113,2000,2/28/2021 12:59:53 AM,160,16,1,15.35,0
Paddle - lc_25,114,2000,2/28/2021 12:59:53 AM,120,12,15,34.91,0
Paddle - lc_25,115,2000,2/28/2021 12:59:53 AM,150,15,9,26.67,0
Paddle - lc_25,116,2000,2/28/2021 12:59:53 AM,160,16,2,18.49,0
Paddle - lc_25,117,2000,2/28/2021 12:59:53 AM,200,20,15,46.73,0
Paddle - lc_25,118,2000,2/28/2021 12:59:53 AM,200,20,6,20.07,0
Paddle - lc_25,119,2000,2/28/2021 12:59:53 AM,210,21,5,44.71,1
Paddle - lc_25,120,2000,2/28/2021 12:59:53 AM,210,21,8,27.53,1
Paddle - lc_25,121,2000,2/28/2021 12:59:53 AM,190,19,8,32.84,0
Paddle - lc_25,122,2000,2/28/2021 12:59:53 AM,110,11,6,10.77,0
Paddle - lc_25,123,2000,2/28/2021 12:59:53 AM,190,19,7,21.11,0
