ModelName,GameNumber,ID_RunTime,NumGamesPlayed,Score,BlockHits,PaddleHits,TimePlayed,WinStatus
Paddle - lc_28_500k,69,2000,2/28/2021 7:52:01 PM,30,3,0,2.79,0
Paddle - lc_28_500k,70,2000,2/28/2021 7:52:01 PM,10,1,0,0.48,0
Paddle - lc_28_500k,71,2000,2/28/2021 7:52:01 PM,70,7,0,3.77,0
Paddle - lc_28_500k,72,2000,2/28/2021 7:52:01 PM,10,1,0,1.2,0
Paddle - lc_28_500k,73,2000,2/28/2021 7:52:01 PM,10,1,0,0.84,0
Paddle - lc_28_500k,74,2000,2/28/2021 7:52:01 PM,10,1,0,0.22,0
Paddle - lc_28_500k,75,2000,2/28/2021 7:52:01 PM,20,2,0,2.94,0
Paddle - lc_28_500k,76,2000,2/28/2021 7:52:01 PM,10,1,0,0.46,0
Paddle - lc_28_500k,77,2000,2/28/2021 7:52:01 PM,10,1,0,1.08,0
Paddle - lc_28_500k,78,2000,2/28/2021 7:52:01 PM,20,2,1,4.49,0
Paddle - lc_28_500k,79,2000,2/28/2021 7:52:01 PM,20,2,0,2.24,0
Paddle - lc_28_500k,80,2000,2/28/2021 7:52:01 PM,190,19,2,19.94,0
Paddle - lc_28_500k,81,2000,2/28/2021 7:52:01 PM,20,2,2,2.96,0
Paddle - lc_28_500k,82,2000,2/28/2021 7:52:01 PM,40,4,0,3.39,0
Paddle - lc_28_500k,83,2000,2/28/2021 7:52:01 PM,110,11,1,10.32,0
Paddle - lc_28_500k,84,2000,2/28/2021 7:52:01 PM,10,1,0,1.62,0
Paddle - lc_28_500k,85,2000,2/28/2021 7:52:01 PM,10,1,0,0.46,0
Paddle - lc_28_500k,86,2000,2/28/2021 7:52:01 PM,10,1,0,0.14,0
Paddle - lc_28_500k,87,2000,2/28/2021 7:52:01 PM,10,1,0,1.64,0
Paddle - lc_28_500k,88,2000,2/28/2021 7:52:01 PM,110,11,1,6.66,0
Paddle - lc_28_500k,89,2000,2/28/2021 7:52:01 PM,40,4,0,3.07,0
Paddle - lc_28_500k,90,2000,2/28/2021 7:52:01 PM,10,1,0,0.14,0
