ModelName,GameNumber,NumGamesPlayed,Score,BlockHits,PaddleHits,TimePlayed,WinStatus
Paddle - bo_13,1,4316,10,1,2,99.68,0
Paddle - bo_13,2,4316,100,10,1,3.9,0
Paddle - bo_13,3,4316,10,1,0,0.36,0
Paddle - bo_13,4,4316,90,9,4,18.82,0
Paddle - bo_13,5,4316,60,6,1,5.52,0
Paddle - bo_13,6,4316,60,6,1,6.62,0
Paddle - bo_13,7,4316,20,2,1,3.29,0
Paddle - bo_13,8,4316,70,7,0,3.01,0
Paddle - bo_13,9,4316,20,2,1,3,0
Paddle - bo_13,10,4316,10,1,0,1.28,0
Paddle - bo_13,11,4316,120,12,0,7.56,0
Paddle - bo_13,12,4316,30,3,1,4.94,0
Paddle - bo_13,13,4316,20,2,1,4.44,0
Paddle - bo_13,14,4316,10,1,0,4.24,0
Paddle - bo_13,15,4316,10,1,0,0.04,0
Paddle - bo_13,16,4316,10,1,0,0.3,0
Paddle - bo_13,17,4316,10,1,0,0.22,0
Paddle - bo_13,18,4316,100,10,0,6.79,0
Paddle - bo_13,19,4316,40,4,1,4.23,0
Paddle - bo_13,20,4316,70,7,2,8.3,0
Paddle - bo_13,21,4316,190,19,2,32.83,0
Paddle - bo_13,22,4316,60,6,2,5.78,0
Paddle - bo_13,23,4316,10,1,1,2.84,0
Paddle - bo_13,24,4316,130,13,2,14.73,0
Paddle - bo_13,25,4316,10,1,1,4.83,0
Paddle - bo_13,26,4316,10,1,0,2.23,0
Paddle - bo_13,27,4316,70,7,1,8.37,0
Paddle - bo_13,28,4316,20,2,1,2.73,0
Paddle - bo_13,29,4316,40,4,3,7.06,0
Paddle - bo_13,30,4316,20,2,1,1.22,0
Paddle - bo_13,31,4316,20,2,1,5.34,0
Paddle - bo_13,32,4316,80,8,0,5.96,0
Paddle - bo_13,33,4316,120,12,3,14.33,0
Paddle - bo_13,34,4316,120,12,0,15.49,0
Paddle - bo_13,35,4316,100,10,1,7.72,0
Paddle - bo_13,36,4316,200,20,1,33.45,0
Paddle - bo_13,37,4316,70,7,6,15.38,0
Paddle - bo_13,38,4316,20,2,2,3.84,0
Paddle - bo_13,39,4316,10,1,0,0.96,0
Paddle - bo_13,40,4316,10,1,1,0.95,0
Paddle - bo_13,41,4316,20,2,1,3.55,0
Paddle - bo_13,42,4316,30,3,1,7.77,0
Paddle - bo_13,43,4316,70,7,4,15.13,0
Paddle - bo_13,44,4316,30,3,0,3.37,0
Paddle - bo_13,45,4316,10,1,1,1.34,0
Paddle - bo_13,46,4316,100,10,1,10.7,0
Paddle - bo_13,47,4316,40,4,3,3.97,0
Paddle - bo_13,48,4316,10,1,0,0.92,0
Paddle - bo_13,49,4316,170,17,0,17.88,0
Paddle - bo_13,50,4316,100,10,1,11.22,0
Paddle - bo_13,51,4316,100,10,1,10.51,0
Paddle - bo_13,52,4316,10,1,0,0.68,0
Paddle - bo_13,53,4316,150,15,2,18.58,0
Paddle - bo_13,54,4316,40,4,0,2.17,0
Paddle - bo_13,55,4316,10,1,0,1.18,0
Paddle - bo_13,56,4316,20,2,0,3.87,0
Paddle - bo_13,57,4316,10,1,0,1.1,0
Paddle - bo_13,58,4316,60,6,1,5.01,0
Paddle - bo_13,59,4316,130,13,4,8.45,0
Paddle - bo_13,60,4316,20,2,1,1.68,0
Paddle - bo_13,61,4316,110,11,0,2.75,0
Paddle - bo_13,62,4316,170,17,1,9.31,0
Paddle - bo_13,63,4316,100,10,0,6.6,0
Paddle - bo_13,64,4316,10,1,0,0.66,0
Paddle - bo_13,65,4316,20,2,2,2.89,0
Paddle - bo_13,66,4316,10,1,0,0.62,0
Paddle - bo_13,67,4316,60,6,2,6.92,0
Paddle - bo_13,68,4316,50,5,0,5.18,0
Paddle - bo_13,69,4316,0,0,3,8.29,0
Paddle - bo_13,70,4316,40,4,0,2.91,0
Paddle - bo_13,71,4316,100,10,1,11.6,0
Paddle - bo_13,72,4316,10,1,0,0.88,0
Paddle - bo_13,73,4316,60,6,0,6.38,0
Paddle - bo_13,74,4316,10,1,0,2.73,0
Paddle - bo_13,75,4316,20,2,0,2.59,0
Paddle - bo_13,76,4316,50,5,1,6.38,0
Paddle - bo_13,77,4316,30,3,4,7.16,0
Paddle - bo_13,78,4316,10,1,0,0.52,0
Paddle - bo_13,79,4316,10,1,0,1.28,0
Paddle - bo_13,80,4316,20,2,1,1.64,0
Paddle - bo_13,81,4316,20,2,1,2.73,0
Paddle - bo_13,82,4316,10,1,0,1.3,0
Paddle - bo_13,83,4316,90,9,1,6.54,0
Paddle - bo_13,84,4316,10,1,8,14.1,0
Paddle - bo_13,85,4316,170,17,3,18.99,0
Paddle - bo_13,86,4316,100,10,2,7.46,0
Paddle - bo_13,87,4316,0,0,17,27.41,0
Paddle - bo_13,88,4316,190,19,1,14.47,0
Paddle - bo_13,89,4316,150,15,1,13.54,0
Paddle - bo_13,90,4316,150,15,4,19.6,0
Paddle - bo_13,91,4316,100,10,0,4.51,0
Paddle - bo_13,92,4316,120,12,3,15.35,0
Paddle - bo_13,93,4316,100,10,1,10.25,0
Paddle - bo_13,94,4316,40,4,1,3.16,0
Paddle - bo_13,95,4316,130,13,0,3.77,0
Paddle - bo_13,96,4316,20,2,0,2.07,0
Paddle - bo_13,97,4316,10,1,0,2.09,0
Paddle - bo_13,98,4316,10,1,0,1.32,0
Paddle - bo_13,99,4316,10,1,0,0.84,0
Paddle - bo_13,100,4316,10,1,0,0.44,0
Paddle - bo_13,101,4316,80,8,2,5.78,0
Paddle - bo_13,102,4316,10,1,2,4.03,0
Paddle - bo_13,103,4316,140,14,1,9.51,0
Paddle - bo_13,104,4316,10,1,0,3.79,0
Paddle - bo_13,105,4316,20,2,1,5.4,0
Paddle - bo_13,106,4316,160,16,3,9.67,0
Paddle - bo_13,107,4316,20,2,1,6.9,0
Paddle - bo_13,108,4316,30,3,4,6.13,0
Paddle - bo_13,109,4316,10,1,2,3.61,0
Paddle - bo_13,110,4316,30,3,0,3.25,0
Paddle - bo_13,111,4316,10,1,0,0.52,0
Paddle - bo_13,112,4316,190,19,1,29.22,0
Paddle - bo_13,113,4316,10,1,2,2.81,0
Paddle - bo_13,114,4316,20,2,1,2.77,0
Paddle - bo_13,115,4316,10,1,0,0.64,0
Paddle - bo_13,116,4316,10,1,1,4.02,0
Paddle - bo_13,117,4316,150,15,1,8.45,0
Paddle - bo_13,118,4316,20,2,1,2.79,0
Paddle - bo_13,119,4316,60,6,0,3.47,0
Paddle - bo_13,120,4316,20,2,1,3.01,0
Paddle - bo_13,121,4316,110,11,1,7.33,0
Paddle - bo_13,122,4316,110,11,1,5.52,0
Paddle - bo_13,123,4316,40,4,1,8.29,0
Paddle - bo_13,124,4316,130,13,1,17.44,0
Paddle - bo_13,125,4316,40,4,1,5.91,0
Paddle - bo_13,126,4316,10,1,0,0.54,0
Paddle - bo_13,127,4316,10,1,0,0.71,0
Paddle - bo_13,128,4316,160,16,1,14.92,0
Paddle - bo_13,129,4316,70,7,1,6.08,0
Paddle - bo_13,130,4316,90,9,1,5.72,0
Paddle - bo_13,131,4316,20,2,0,2.09,0
Paddle - bo_13,132,4316,10,1,0,0.66,0
Paddle - bo_13,133,4316,10,1,0,0.76,0
Paddle - bo_13,134,4316,190,19,0,11.52,0
Paddle - bo_13,135,4316,190,19,2,17.1,0
Paddle - bo_13,136,4316,10,1,0,0.76,0
Paddle - bo_13,137,4316,110,11,8,21.95,0
Paddle - bo_13,138,4316,10,1,0,0.74,0
Paddle - bo_13,139,4316,10,1,2,4.01,0
Paddle - bo_13,140,4316,120,12,0,3.59,0
Paddle - bo_13,141,4316,10,1,0,1.06,0
Paddle - bo_13,142,4316,10,1,2,3.03,0
Paddle - bo_13,143,4316,70,7,2,16.3,0
Paddle - bo_13,144,4316,20,2,2,5.88,0
Paddle - bo_13,145,4316,80,8,6,29.06,0
Paddle - bo_13,146,4316,10,1,0,1.16,0
Paddle - bo_13,147,4316,110,11,1,12.16,0
Paddle - bo_13,148,4316,20,2,0,1.76,0
Paddle - bo_13,149,4316,130,13,3,10.26,0
Paddle - bo_13,150,4316,10,1,2,2.91,0
Paddle - bo_13,151,4316,160,16,1,14.16,0
Paddle - bo_13,152,4316,20,2,1,3.11,0
Paddle - bo_13,153,4316,100,10,0,4.45,0
Paddle - bo_13,154,4316,10,1,1,0.94,0
Paddle - bo_13,155,4316,70,7,1,5.36,0
Paddle - bo_13,156,4316,170,17,1,9.55,0
Paddle - bo_13,157,4316,20,2,2,4.75,0
Paddle - bo_13,158,4316,80,8,2,7.26,0
Paddle - bo_13,159,4316,90,9,1,6.78,0
Paddle - bo_13,160,4316,80,8,1,10.05,0
Paddle - bo_13,161,4316,10,1,0,1.14,0
Paddle - bo_13,162,4316,40,4,3,8.71,0
Paddle - bo_13,163,4316,30,3,1,5.5,0
Paddle - bo_13,164,4316,160,16,2,20.05,0
Paddle - bo_13,165,4316,110,11,1,11.26,0
Paddle - bo_13,166,4316,160,16,0,7.94,0
Paddle - bo_13,167,4316,10,1,1,1.06,0
Paddle - bo_13,168,4316,30,3,5,10.05,0
Paddle - bo_13,169,4316,20,2,1,2.65,0
Paddle - bo_13,170,4316,70,7,1,5.64,0
Paddle - bo_13,171,4316,0,0,0,2.05,0
Paddle - bo_13,172,4316,10,1,2,3.11,0
Paddle - bo_13,173,4316,70,7,4,7.04,0
Paddle - bo_13,174,4316,10,1,0,0.64,0
Paddle - bo_13,175,4316,10,1,0,1.16,0
Paddle - bo_13,176,4316,10,1,0,0.98,0
Paddle - bo_13,177,4316,160,16,4,10.53,0
Paddle - bo_13,178,4316,90,9,1,10.67,0
Paddle - bo_13,179,4316,30,3,3,13.9,0
Paddle - bo_13,180,4316,110,11,1,6.12,0
Paddle - bo_13,181,4316,90,9,1,10.97,0
Paddle - bo_13,182,4316,80,8,1,6.5,0
Paddle - bo_13,183,4316,100,10,3,17.74,0
Paddle - bo_13,184,4316,30,3,40,61.74,0
Paddle - bo_13,185,4316,60,6,1,5.64,0
Paddle - bo_13,186,4316,20,2,1,4.35,0
Paddle - bo_13,187,4316,80,8,2,18.3,0
Paddle - bo_13,188,4316,90,9,0,7.86,0
Paddle - bo_13,189,4316,20,2,0,2.79,0
Paddle - bo_13,190,4316,160,16,1,8.45,0
Paddle - bo_13,191,4316,60,6,1,2.25,0
Paddle - bo_13,192,4316,0,0,0,1.6,0
Paddle - bo_13,193,4316,90,9,4,14.73,0
Paddle - bo_13,194,4316,20,2,1,2.73,0
Paddle - bo_13,195,4316,60,6,1,4.97,0
Paddle - bo_13,196,4316,10,1,0,0.64,0
Paddle - bo_13,197,4316,160,16,4,10.05,0
Paddle - bo_13,198,4316,210,21,2,12.52,1
Paddle - bo_13,199,4316,20,2,0,2.19,0
Paddle - bo_13,200,4316,20,2,0,2.25,0
Paddle - bo_13,201,4316,90,9,1,11.44,0
Paddle - bo_13,202,4316,90,9,3,14.71,0
Paddle - bo_13,203,4316,20,2,2,4.15,0
Paddle - bo_13,204,4316,20,2,1,2.75,0
Paddle - bo_13,205,4316,130,13,1,11.72,0
Paddle - bo_13,206,4316,100,10,2,12.56,0
Paddle - bo_13,207,4316,130,13,3,17.58,0
Paddle - bo_13,208,4316,20,2,1,3.81,0
