ModelName,NumGamesPlayed,Statistic,Score,BlockHits,PaddleHits,TimePlayed,WinPercentage
Paddle - bo_05,5,Minimum,10,1,0,0.57,0
Paddle - bo_05,5,Average,10,1,0,5.06,0
Paddle - bo_05,5,Maximum,10,1,0,22.93,0
