ModelName,NumGamesPlayed,ID_RunTime,Statistic,Score,BlockHits,PaddleHits,TimePlayed,WinPercentage
Paddle - lc_19,2000,2/28/2021 12:48:43 PM,Minimum,0,0,0,0.56,0.105
Paddle - lc_19,2000,2/28/2021 12:48:43 PM,Average,112.34,11.23,4.48,14.56,0.105
Paddle - lc_19,2000,2/28/2021 12:48:43 PM,Maximum,210,21,47,158.63,0.105
