ModelName,NumGamesPlayed,Score,BlockHits,PaddleHits,TimePlayed,WinOrLose
Paddle - bo_05,5,10,1,0,22.76,0
Paddle - bo_05,5,10,1,0,0.65,0
Paddle - bo_05,5,30,3,0,2.33,0
Paddle - bo_05,5,10,1,0,0.56,0
Paddle - bo_05,5,30,3,0,2.43,0
