ModelName,GameNumber,ID_RunTime,NumGamesPlayed,Score,BlockHits,PaddleHits,TimePlayed,WinStatus
Paddle - lc_31_1M,1,2000,2/28/2021 8:00:39 PM,80,8,0,107.91,0
Paddle - lc_31_1M,2,2000,2/28/2021 8:00:39 PM,30,3,5,8.1,0
Paddle - lc_31_1M,3,2000,2/28/2021 8:00:39 PM,110,11,1,10.44,0
Paddle - lc_31_1M,4,2000,2/28/2021 8:00:39 PM,180,18,2,9.76,0
Paddle - lc_31_1M,5,2000,2/28/2021 8:00:39 PM,30,3,1,4.15,0
Paddle - lc_31_1M,6,2000,2/28/2021 8:00:39 PM,110,11,1,7.48,0
Paddle - lc_31_1M,7,2000,2/28/2021 8:00:39 PM,130,13,4,15.21,0
Paddle - lc_31_1M,8,2000,2/28/2021 8:00:39 PM,10,1,0,1.74,0
Paddle - lc_31_1M,9,2000,2/28/2021 8:00:39 PM,10,1,0,0.86,0
Paddle - lc_31_1M,10,2000,2/28/2021 8:00:39 PM,50,5,2,6.54,0
Paddle - lc_31_1M,11,2000,2/28/2021 8:00:39 PM,20,2,1,2.38,0
Paddle - lc_31_1M,12,2000,2/28/2021 8:00:39 PM,60,6,1,14.11,0
Paddle - lc_31_1M,13,2000,2/28/2021 8:00:39 PM,20,2,2,3.27,0
Paddle - lc_31_1M,14,2000,2/28/2021 8:00:39 PM,10,1,0,0.42,0
Paddle - lc_31_1M,15,2000,2/28/2021 8:00:39 PM,30,3,2,5.79,0
Paddle - lc_31_1M,16,2000,2/28/2021 8:00:39 PM,100,10,2,11.35,0
Paddle - lc_31_1M,17,2000,2/28/2021 8:00:39 PM,90,9,1,4.79,0
Paddle - lc_31_1M,18,2000,2/28/2021 8:00:39 PM,10,1,0,1.08,0
Paddle - lc_31_1M,19,2000,2/28/2021 8:00:39 PM,10,1,2,3.41,0
Paddle - lc_31_1M,20,2000,2/28/2021 8:00:39 PM,100,10,3,13.82,0
Paddle - lc_31_1M,21,2000,2/28/2021 8:00:39 PM,30,3,3,6.38,0
Paddle - lc_31_1M,22,2000,2/28/2021 8:00:39 PM,20,2,2,3.75,0
Paddle - lc_31_1M,23,2000,2/28/2021 8:00:39 PM,30,3,2,5.89,0
Paddle - lc_31_1M,24,2000,2/28/2021 8:00:39 PM,110,11,2,12.6,0
Paddle - lc_31_1M,25,2000,2/28/2021 8:00:39 PM,10,1,1,0.9,0
Paddle - lc_31_1M,26,2000,2/28/2021 8:00:39 PM,10,1,2,2.89,0
Paddle - lc_31_1M,27,2000,2/28/2021 8:00:39 PM,170,17,0,10.17,0
Paddle - lc_31_1M,28,2000,2/28/2021 8:00:39 PM,40,4,2,5.77,0
Paddle - lc_31_1M,29,2000,2/28/2021 8:00:39 PM,10,1,2,2.76,0
Paddle - lc_31_1M,30,2000,2/28/2021 8:00:39 PM,100,10,3,9.06,0
