ModelName,NumGamesPlayed,ID_RunTime,Statistic,Score,BlockHits,PaddleHits,TimePlayed,WinPercentage
Paddle - lc_34_3M,2000,2/28/2021 8:56:42 PM,Minimum,0,0,0,0.38,0.03
Paddle - lc_34_3M,2000,2/28/2021 8:56:42 PM,Average,87.25,8.72,3,10.76,0.03
Paddle - lc_34_3M,2000,2/28/2021 8:56:42 PM,Maximum,210,21,72,120.37,0.03
