ModelName,NumGamesPlayed,ID_RunTime,Statistic,Score,BlockHits,PaddleHits,TimePlayed,WinPercentage
Paddle - lc_23,2000,2/28/2021 11:40:50 AM,Minimum,0,0,0,0.56,0.127
Paddle - lc_23,2000,2/28/2021 11:40:50 AM,Average,118.24,11.82,5.18,15.23,0.127
Paddle - lc_23,2000,2/28/2021 11:40:50 AM,Maximum,210,21,85,128.88,0.127
