ModelName,GameNumber,NumGamesPlayed,Score,BlockHits,PaddleHits,TimePlayed,WinStatus
Paddle - bo_05,1,1000,10,1,0,90.97,0
Paddle - bo_05,2,1000,10,1,0,90.97,0
Paddle - bo_05,3,1000,10,1,0,90.97,0
Paddle - bo_05,4,1000,10,1,0,0.16,0
Paddle - bo_05,5,1000,10,1,0,0.16,0
Paddle - bo_05,6,1000,10,1,0,0.16,0
Paddle - bo_05,7,1000,10,1,0,0.34,0
Paddle - bo_05,8,1000,10,1,0,0.3,0
Paddle - bo_05,9,1000,10,1,0,0.48,0
Paddle - bo_05,10,1000,10,1,0,0.48,0
Paddle - bo_05,11,1000,60,6,1,2.57,0
Paddle - bo_05,12,1000,10,1,0,0.5,0
Paddle - bo_05,13,1000,40,4,0,1.64,0
Paddle - bo_05,14,1000,10,1,0,0.34,0
Paddle - bo_05,15,1000,10,0,1,1.7,0
Paddle - bo_05,16,1000,120,12,0,14.4,0
Paddle - bo_05,17,1000,10,1,0,0.52,0
Paddle - bo_05,18,1000,10,1,0,0.6,0
Paddle - bo_05,19,1000,10,1,0,0.68,0
Paddle - bo_05,20,1000,10,1,0,0.46,0
Paddle - bo_05,21,1000,10,1,0,0.72,0
Paddle - bo_05,22,1000,10,1,0,0.5,0
Paddle - bo_05,23,1000,10,1,0,0.44,0
Paddle - bo_05,24,1000,10,1,0,0.29,0
Paddle - bo_05,25,1000,10,1,0,0.64,0
Paddle - bo_05,26,1000,120,12,0,14.5,0
Paddle - bo_05,27,1000,10,1,0,0.56,0
Paddle - bo_05,28,1000,60,6,0,1.4,0
Paddle - bo_05,29,1000,10,1,0,0.37,0
Paddle - bo_05,30,1000,10,1,0,0.68,0
Paddle - bo_05,31,1000,10,1,0,0.59,0
Paddle - bo_05,32,1000,10,1,0,0.48,0
Paddle - bo_05,33,1000,10,1,0,0.54,0
Paddle - bo_05,34,1000,10,1,0,0.28,0
Paddle - bo_05,35,1000,30,3,4,6.26,0
Paddle - bo_05,36,1000,10,1,0,1.89,0
Paddle - bo_05,37,1000,10,1,0,0.5,0
Paddle - bo_05,38,1000,70,7,0,2.18,0
Paddle - bo_05,39,1000,10,1,1,0.68,0
Paddle - bo_05,40,1000,10,1,0,0.48,0
Paddle - bo_05,41,1000,40,4,0,2.34,0
Paddle - bo_05,42,1000,10,1,1,0.7,0
Paddle - bo_05,43,1000,180,18,1,8.69,0
Paddle - bo_05,44,1000,10,1,0,0.44,0
Paddle - bo_05,45,1000,30,3,3,5.48,0
Paddle - bo_05,46,1000,10,1,0,0.5,0
Paddle - bo_05,47,1000,30,3,0,3.29,0
Paddle - bo_05,48,1000,30,0,0,1.76,0
Paddle - bo_05,49,1000,10,1,0,0.46,0
Paddle - bo_05,50,1000,10,1,0,1.88,0
Paddle - bo_05,51,1000,10,1,0,0.48,0
Paddle - bo_05,52,1000,10,1,0,0.36,0
Paddle - bo_05,53,1000,10,1,0,0.7,0
Paddle - bo_05,54,1000,10,1,1,1.24,0
Paddle - bo_05,55,1000,10,1,0,2.05,0
Paddle - bo_05,56,1000,10,1,0,0.48,0
Paddle - bo_05,57,1000,10,1,0,0.5,0
Paddle - bo_05,58,1000,10,1,0,0.3,0
Paddle - bo_05,59,1000,10,1,0,0.46,0
Paddle - bo_05,60,1000,10,1,0,0.68,0
Paddle - bo_05,61,1000,10,1,0,0.38,0
Paddle - bo_05,62,1000,10,1,0,0.32,0
Paddle - bo_05,63,1000,130,13,0,6.74,0
Paddle - bo_05,64,1000,10,1,0,0.58,0
Paddle - bo_05,65,1000,20,2,2,3.39,0
Paddle - bo_05,66,1000,10,1,0,0.6,0
Paddle - bo_05,67,1000,80,8,0,2.51,0
Paddle - bo_05,68,1000,10,1,0,0.78,0
Paddle - bo_05,69,1000,10,1,0,0.37,0
Paddle - bo_05,70,1000,20,2,0,1.64,0
Paddle - bo_05,71,1000,10,1,0,0.38,0
Paddle - bo_05,72,1000,10,1,0,0.46,0
Paddle - bo_05,73,1000,50,5,1,2.75,0
Paddle - bo_05,74,1000,10,1,0,0.46,0
Paddle - bo_05,75,1000,10,1,0,1.22,0
Paddle - bo_05,76,1000,40,4,2,2.74,0
Paddle - bo_05,77,1000,10,1,0,0.48,0
Paddle - bo_05,78,1000,10,1,0,0.52,0
Paddle - bo_05,79,1000,10,1,0,0.38,0
Paddle - bo_05,80,1000,10,1,0,0.46,0
Paddle - bo_05,81,1000,10,1,0,0.61,0
Paddle - bo_05,82,1000,20,2,1,4.47,0
Paddle - bo_05,83,1000,10,1,0,0.58,0
Paddle - bo_05,84,1000,30,3,2,4.61,0
Paddle - bo_05,85,1000,10,1,0,0.78,0
Paddle - bo_05,86,1000,10,1,0,0.48,0
Paddle - bo_05,87,1000,10,1,0,0.5,0
Paddle - bo_05,88,1000,10,1,1,1.61,0
Paddle - bo_05,89,1000,10,1,0,0.47,0
Paddle - bo_05,90,1000,40,4,0,2.23,0
Paddle - bo_05,91,1000,30,3,0,2.43,0
Paddle - bo_05,92,1000,40,4,0,1.66,0
Paddle - bo_05,93,1000,10,1,0,0.57,0
Paddle - bo_05,94,1000,10,1,0,1.73,0
Paddle - bo_05,95,1000,10,1,0,0.46,0
Paddle - bo_05,96,1000,60,6,0,2.67,0
Paddle - bo_05,97,1000,10,1,0,0.56,0
Paddle - bo_05,98,1000,40,4,0,1.8,0
Paddle - bo_05,99,1000,10,1,0,0.6,0
Paddle - bo_05,100,1000,10,1,0,0.49,0
Paddle - bo_05,101,1000,10,1,0,0.48,0
Paddle - bo_05,102,1000,140,14,0,14.77,0
Paddle - bo_05,103,1000,10,1,0,0.68,0
Paddle - bo_05,104,1000,30,3,0,1.6,0
Paddle - bo_05,105,1000,10,1,0,0.44,0
Paddle - bo_05,106,1000,10,1,0,0.59,0
Paddle - bo_05,107,1000,10,1,0,0.66,0
Paddle - bo_05,108,1000,10,1,0,0.48,0
Paddle - bo_05,109,1000,10,1,0,0.59,0
Paddle - bo_05,110,1000,10,1,0,0.48,0
Paddle - bo_05,111,1000,10,1,0,0.46,0
Paddle - bo_05,112,1000,10,1,0,0.46,0
Paddle - bo_05,113,1000,10,1,0,1.08,0
Paddle - bo_05,114,1000,10,1,0,0.61,0
Paddle - bo_05,115,1000,10,1,0,0.46,0
Paddle - bo_05,116,1000,10,1,0,0.28,0
Paddle - bo_05,117,1000,40,4,1,1.88,0
Paddle - bo_05,118,1000,40,4,0,2.1,0
Paddle - bo_05,119,1000,140,14,0,3.91,0
Paddle - bo_05,120,1000,40,4,0,1.52,0
Paddle - bo_05,121,1000,10,1,0,0.6,0
Paddle - bo_05,122,1000,40,4,0,1.98,0
Paddle - bo_05,123,1000,10,1,0,0.46,0
Paddle - bo_05,124,1000,10,1,0,0.7,0
Paddle - bo_05,125,1000,10,1,1,1.2,0
Paddle - bo_05,126,1000,100,10,0,3.12,0
Paddle - bo_05,127,1000,10,1,0,0.54,0
Paddle - bo_05,128,1000,80,8,1,2.33,0
Paddle - bo_05,129,1000,10,1,0,0.45,0
Paddle - bo_05,130,1000,50,5,1,2.91,0
Paddle - bo_05,131,1000,10,1,0,0.58,0
Paddle - bo_05,132,1000,10,1,0,0.86,0
Paddle - bo_05,133,1000,10,1,0,0.52,0
Paddle - bo_05,134,1000,10,0,3,6.77,0
Paddle - bo_05,135,1000,20,2,1,1.28,0
Paddle - bo_05,136,1000,80,8,0,2.73,0
Paddle - bo_05,137,1000,100,10,0,20.61,0
Paddle - bo_05,138,1000,10,1,0,0.48,0
Paddle - bo_05,139,1000,10,1,0,0.48,0
Paddle - bo_05,140,1000,20,2,0,1.78,0
Paddle - bo_05,141,1000,10,1,0,0.44,0
Paddle - bo_05,142,1000,10,1,0,0.48,0
Paddle - bo_05,143,1000,180,18,0,6.24,0
Paddle - bo_05,144,1000,10,1,1,0.5,0
Paddle - bo_05,145,1000,10,1,0,1.92,0
Paddle - bo_05,146,1000,10,1,0,0.5,0
Paddle - bo_05,147,1000,10,1,0,0.5,0
Paddle - bo_05,148,1000,10,1,0,0.38,0
Paddle - bo_05,149,1000,20,2,1,12.11,0
Paddle - bo_05,150,1000,130,13,0,4.71,0
Paddle - bo_05,151,1000,10,1,0,0.54,0
Paddle - bo_05,152,1000,10,0,0,2.33,0
Paddle - bo_05,153,1000,20,2,1,1.23,0
Paddle - bo_05,154,1000,10,1,0,0.41,0
Paddle - bo_05,155,1000,10,1,0,1.78,0
Paddle - bo_05,156,1000,110,11,0,5.89,0
Paddle - bo_05,157,1000,10,1,0,0.59,0
Paddle - bo_05,158,1000,30,3,1,2.17,0
Paddle - bo_05,159,1000,10,1,0,0.42,0
Paddle - bo_05,160,1000,10,0,0,1.7,0
Paddle - bo_05,161,1000,20,2,1,3.59,0
Paddle - bo_05,162,1000,10,1,0,0.42,0
Paddle - bo_05,163,1000,10,1,0,0.36,0
Paddle - bo_05,164,1000,10,1,1,1.9,0
Paddle - bo_05,165,1000,10,1,0,0.66,0
Paddle - bo_05,166,1000,200,20,3,30.22,0
Paddle - bo_05,167,1000,10,1,0,0.52,0
Paddle - bo_05,168,1000,110,11,2,11.3,0
Paddle - bo_05,169,1000,20,2,1,3.07,0
Paddle - bo_05,170,1000,10,1,0,0.42,0
Paddle - bo_05,171,1000,120,12,0,14.67,0
