ModelName,GameNumber,NumGamesPlayed,Score,BlockHits,PaddleHits,TimePlayed,WinStatus
Paddle - bo_13,1,500,90,9,2,61.93,0
Paddle - bo_13,2,500,180,18,4,20.68,0
Paddle - bo_13,3,500,20,2,1,3.1,0
Paddle - bo_13,4,500,50,5,5,12.78,0
Paddle - bo_13,5,500,10,1,1,2.61,0
Paddle - bo_13,6,500,90,9,1,11.02,0
Paddle - bo_13,7,500,60,6,1,3.76,0
Paddle - bo_13,8,500,110,11,1,6.79,0
Paddle - bo_13,9,500,10,1,0,0.54,0
Paddle - bo_13,10,500,50,5,1,3.26,0
Paddle - bo_13,11,500,10,1,5,8.92,0
Paddle - bo_13,12,500,90,9,1,10.69,0
Paddle - bo_13,13,500,30,3,1,2.21,0
Paddle - bo_13,14,500,140,14,1,9.1,0
Paddle - bo_13,15,500,170,17,2,22.41,0
Paddle - bo_13,16,500,50,5,2,6.54,0
Paddle - bo_13,17,500,70,7,0,5.98,0
Paddle - bo_13,18,500,10,1,1,4.54,0
Paddle - bo_13,19,500,30,3,3,6.73,0
Paddle - bo_13,20,500,10,1,1,4.13,0
Paddle - bo_13,21,500,10,1,0,2.21,0
Paddle - bo_13,22,500,120,12,1,13.11,0
Paddle - bo_13,23,500,110,11,2,4.57,0
Paddle - bo_13,24,500,10,1,0,1.73,0
Paddle - bo_13,25,500,10,1,0,1.96,0
Paddle - bo_13,26,500,100,10,3,9.46,0
Paddle - bo_13,27,500,20,2,2,3.01,0
Paddle - bo_13,28,500,30,3,5,7.68,0
Paddle - bo_13,29,500,30,3,3,6.63,0
Paddle - bo_13,30,500,160,16,1,22.64,0
Paddle - bo_13,31,500,210,21,3,34.32,1
Paddle - bo_13,32,500,40,4,0,2.55,0
Paddle - bo_13,33,500,10,1,0,1.65,0
Paddle - bo_13,34,500,170,17,3,15.1,0
Paddle - bo_13,35,500,20,2,1,2.92,0
Paddle - bo_13,36,500,150,15,3,21.28,0
Paddle - bo_13,37,500,40,4,1,5.54,0
Paddle - bo_13,38,500,10,1,1,0.56,0
Paddle - bo_13,39,500,10,1,0,0.57,0
Paddle - bo_13,40,500,20,2,1,3.29,0
Paddle - bo_13,41,500,120,12,1,9.57,0
Paddle - bo_13,42,500,20,2,1,2.99,0
Paddle - bo_13,43,500,70,7,5,16.16,0
Paddle - bo_13,44,500,10,1,0,0.54,0
Paddle - bo_13,45,500,140,14,1,16.6,0
Paddle - bo_13,46,500,90,9,3,14.01,0
Paddle - bo_13,47,500,120,12,3,13.2,0
Paddle - bo_13,48,500,60,6,1,6.29,0
Paddle - bo_13,49,500,10,1,0,1.33,0
Paddle - bo_13,50,500,20,2,1,3.66,0
Paddle - bo_13,51,500,10,1,0,0.48,0
Paddle - bo_13,52,500,100,10,1,13.34,0
Paddle - bo_13,53,500,20,2,2,3.33,0
Paddle - bo_13,54,500,210,21,3,30.5,1
Paddle - bo_13,55,500,10,1,0,0.64,0
Paddle - bo_13,56,500,160,16,1,9.54,0
Paddle - bo_13,57,500,10,1,2,3.81,0
Paddle - bo_13,58,500,130,13,1,8.03,0
Paddle - bo_13,59,500,10,1,0,0.96,0
Paddle - bo_13,60,500,10,1,0,1.05,0
Paddle - bo_13,61,500,160,16,1,14.64,0
Paddle - bo_13,62,500,40,4,2,8.22,0
Paddle - bo_13,63,500,10,1,0,1.13,0
Paddle - bo_13,64,500,30,3,0,1.71,0
Paddle - bo_13,65,500,30,3,2,3.32,0
Paddle - bo_13,66,500,20,2,0,1.6,0
Paddle - bo_13,67,500,150,15,7,14.75,0
Paddle - bo_13,68,500,20,2,1,5.3,0
Paddle - bo_13,69,500,40,4,1,4.96,0
Paddle - bo_13,70,500,20,2,1,2.95,0
Paddle - bo_13,71,500,0,0,0,1.95,0
Paddle - bo_13,72,500,170,17,1,17.67,0
Paddle - bo_13,73,500,40,4,0,3.26,0
Paddle - bo_13,74,500,40,4,0,1.83,0
Paddle - bo_13,75,500,20,2,2,3.47,0
Paddle - bo_13,76,500,110,11,2,7.33,0
Paddle - bo_13,77,500,20,2,1,2.57,0
Paddle - bo_13,78,500,120,12,0,8.98,0
Paddle - bo_13,79,500,160,16,2,28.4,0
Paddle - bo_13,80,500,20,2,2,2.92,0
Paddle - bo_13,81,500,150,15,4,18.18,0
Paddle - bo_13,82,500,10,1,1,2.82,0
Paddle - bo_13,83,500,100,10,2,11.78,0
Paddle - bo_13,84,500,10,1,2,4.98,0
Paddle - bo_13,85,500,60,6,2,7.6,0
Paddle - bo_13,86,500,10,1,0,0.69,0
Paddle - bo_13,87,500,40,4,2,4.67,0
Paddle - bo_13,88,500,10,1,1,1.75,0
Paddle - bo_13,89,500,140,14,1,8.24,0
Paddle - bo_13,90,500,10,1,1,1.58,0
Paddle - bo_13,91,500,140,14,3,15.29,0
Paddle - bo_13,92,500,20,2,1,2.95,0
Paddle - bo_13,93,500,120,12,1,15.59,0
Paddle - bo_13,94,500,10,1,0,0.91,0
Paddle - bo_13,95,500,120,12,1,15.93,0
Paddle - bo_13,96,500,20,2,2,3.76,0
Paddle - bo_13,97,500,30,3,2,5.13,0
Paddle - bo_13,98,500,10,1,2,3.86,0
Paddle - bo_13,99,500,10,1,0,0.55,0
Paddle - bo_13,100,500,50,5,2,6.55,0
Paddle - bo_13,101,500,10,1,0,0.47,0
Paddle - bo_13,102,500,40,4,8,14.38,0
Paddle - bo_13,103,500,100,10,3,10.42,0
Paddle - bo_13,104,500,130,13,4,12.54,0
Paddle - bo_13,105,500,180,18,0,35.84,0
Paddle - bo_13,106,500,60,6,2,7.38,0
Paddle - bo_13,107,500,20,2,2,2.95,0
Paddle - bo_13,108,500,10,1,0,1.45,0
Paddle - bo_13,109,500,200,20,3,14.67,0
Paddle - bo_13,110,500,100,10,2,10.5,0
Paddle - bo_13,111,500,10,1,0,0.61,0
Paddle - bo_13,112,500,130,13,2,11.34,0
Paddle - bo_13,113,500,60,6,0,1.8,0
Paddle - bo_13,114,500,70,7,1,5.57,0
Paddle - bo_13,115,500,160,16,1,16.06,0
Paddle - bo_13,116,500,10,1,0,0.84,0
Paddle - bo_13,117,500,20,2,1,5.12,0
Paddle - bo_13,118,500,10,1,0,2.16,0
Paddle - bo_13,119,500,10,1,0,0.55,0
Paddle - bo_13,120,500,110,11,0,7.05,0
Paddle - bo_13,121,500,10,1,0,0.57,0
Paddle - bo_13,122,500,10,1,2,3.52,0
Paddle - bo_13,123,500,20,2,1,4.18,0
Paddle - bo_13,124,500,20,2,9,16.12,0
Paddle - bo_13,125,500,10,1,0,0.5,0
Paddle - bo_13,126,500,50,5,1,3.49,0
Paddle - bo_13,127,500,140,14,2,14.61,0
Paddle - bo_13,128,500,120,12,0,6.54,0
Paddle - bo_13,129,500,10,1,0,0.89,0
Paddle - bo_13,130,500,10,1,0,0.69,0
Paddle - bo_13,131,500,110,11,2,7.71,0
Paddle - bo_13,132,500,140,14,0,7.09,0
Paddle - bo_13,133,500,20,2,2,7.88,0
Paddle - bo_13,134,500,50,5,3,12.79,0
Paddle - bo_13,135,500,30,3,1,4.79,0
Paddle - bo_13,136,500,120,12,1,8.64,0
Paddle - bo_13,137,500,10,1,0,1.79,0
Paddle - bo_13,138,500,100,10,1,11.33,0
Paddle - bo_13,139,500,10,1,0,0.52,0
Paddle - bo_13,140,500,10,1,1,0.87,0
Paddle - bo_13,141,500,10,1,2,4.02,0
Paddle - bo_13,142,500,100,10,1,13.47,0
Paddle - bo_13,143,500,40,4,1,3.21,0
Paddle - bo_13,144,500,30,3,1,3.06,0
Paddle - bo_13,145,500,150,15,1,13.43,0
Paddle - bo_13,146,500,40,4,0,3.17,0
Paddle - bo_13,147,500,70,7,1,4,0
Paddle - bo_13,148,500,70,7,1,4.54,0
Paddle - bo_13,149,500,20,2,0,3.37,0
Paddle - bo_13,150,500,10,1,0,1.96,0
Paddle - bo_13,151,500,20,2,2,5.19,0
Paddle - bo_13,152,500,140,14,1,10.43,0
Paddle - bo_13,153,500,80,8,1,4.73,0
Paddle - bo_13,154,500,160,16,3,33.46,0
Paddle - bo_13,155,500,10,1,0,1.34,0
Paddle - bo_13,156,500,130,13,2,25.3,0
Paddle - bo_13,157,500,70,7,1,4.78,0
Paddle - bo_13,158,500,20,2,2,3.84,0
Paddle - bo_13,159,500,90,9,1,10.77,0
Paddle - bo_13,160,500,130,13,1,8.02,0
Paddle - bo_13,161,500,30,3,1,5.44,0
Paddle - bo_13,162,500,30,3,1,5.04,0
Paddle - bo_13,163,500,10,1,2,2.44,0
Paddle - bo_13,164,500,30,3,1,5.27,0
Paddle - bo_13,165,500,110,11,2,7.85,0
Paddle - bo_13,166,500,20,2,1,2.81,0
Paddle - bo_13,167,500,90,9,0,5.05,0
Paddle - bo_13,168,500,90,9,0,3.97,0
Paddle - bo_13,169,500,10,1,2,2.87,0
Paddle - bo_13,170,500,150,15,2,7.72,0
Paddle - bo_13,171,500,20,2,1,3.58,0
Paddle - bo_13,172,500,110,11,1,7.36,0
Paddle - bo_13,173,500,10,1,0,0.75,0
Paddle - bo_13,174,500,50,5,3,7.01,0
Paddle - bo_13,175,500,150,15,1,9.48,0
Paddle - bo_13,176,500,20,2,1,3.24,0
Paddle - bo_13,177,500,20,2,2,2.82,0
Paddle - bo_13,178,500,30,3,2,6.21,0
Paddle - bo_13,179,500,40,4,2,4.81,0
Paddle - bo_13,180,500,30,3,6,11.59,0
Paddle - bo_13,181,500,20,2,0,2.18,0
Paddle - bo_13,182,500,10,1,13,21.11,0
Paddle - bo_13,183,500,10,1,2,3.83,0
Paddle - bo_13,184,500,70,7,1,7.56,0
Paddle - bo_13,185,500,0,0,1,2.11,0
Paddle - bo_13,186,500,10,1,0,1.27,0
Paddle - bo_13,187,500,120,12,2,11.8,0
Paddle - bo_13,188,500,40,4,1,3.56,0
Paddle - bo_13,189,500,20,2,1,3.88,0
Paddle - bo_13,190,500,10,1,2,3.4,0
Paddle - bo_13,191,500,40,4,1,4.92,0
Paddle - bo_13,192,500,110,11,1,12.23,0
Paddle - bo_13,193,500,10,1,1,3.92,0
Paddle - bo_13,194,500,70,7,1,15.09,0
Paddle - bo_13,195,500,10,1,0,0.68,0
Paddle - bo_13,196,500,10,1,2,3.71,0
Paddle - bo_13,197,500,100,10,3,11.82,0
Paddle - bo_13,198,500,110,11,2,12.5,0
Paddle - bo_13,199,500,80,8,2,5.66,0
Paddle - bo_13,200,500,20,2,0,2.45,0
Paddle - bo_13,201,500,20,2,1,3.53,0
Paddle - bo_13,202,500,20,2,1,2.89,0
Paddle - bo_13,203,500,150,15,1,12.27,0
Paddle - bo_13,204,500,70,7,1,4.41,0
Paddle - bo_13,205,500,10,1,0,1.14,0
Paddle - bo_13,206,500,20,2,2,4.21,0
Paddle - bo_13,207,500,10,1,0,1.74,0
Paddle - bo_13,208,500,10,1,0,0.9,0
Paddle - bo_13,209,500,130,13,3,8.8,0
Paddle - bo_13,210,500,100,10,0,4.58,0
Paddle - bo_13,211,500,190,19,5,14.44,0
Paddle - bo_13,212,500,10,1,0,0.76,0
Paddle - bo_13,213,500,10,1,0,0.62,0
Paddle - bo_13,214,500,140,14,0,6.71,0
Paddle - bo_13,215,500,10,1,2,4.12,0
Paddle - bo_13,216,500,70,7,1,7.48,0
Paddle - bo_13,217,500,10,1,0,0.69,0
Paddle - bo_13,218,500,10,1,0,0.75,0
Paddle - bo_13,219,500,10,1,0,0.75,0
Paddle - bo_13,220,500,60,6,1,4.17,0
Paddle - bo_13,221,500,60,6,2,5.05,0
Paddle - bo_13,222,500,100,10,4,7.59,0
Paddle - bo_13,223,500,10,1,2,2.86,0
Paddle - bo_13,224,500,120,12,0,5.85,0
Paddle - bo_13,225,500,20,2,1,4.33,0
Paddle - bo_13,226,500,160,16,1,12.94,0
Paddle - bo_13,227,500,100,10,2,8.57,0
Paddle - bo_13,228,500,50,5,3,5.98,0
Paddle - bo_13,229,500,10,1,0,0.54,0
Paddle - bo_13,230,500,30,3,6,13.25,0
Paddle - bo_13,231,500,90,9,2,8.48,0
Paddle - bo_13,232,500,130,13,1,9,0
Paddle - bo_13,233,500,20,2,0,3.32,0
Paddle - bo_13,234,500,80,8,1,4.97,0
Paddle - bo_13,235,500,80,8,3,7.01,0
Paddle - bo_13,236,500,80,8,3,6.72,0
Paddle - bo_13,237,500,10,1,0,0.52,0
Paddle - bo_13,238,500,90,9,4,15.2,0
Paddle - bo_13,239,500,10,1,0,0.79,0
Paddle - bo_13,240,500,190,19,3,23.84,0
Paddle - bo_13,241,500,70,7,1,5.59,0
Paddle - bo_13,242,500,10,1,2,2.81,0
Paddle - bo_13,243,500,20,2,2,3.73,0
Paddle - bo_13,244,500,80,8,1,3.79,0
Paddle - bo_13,245,500,180,18,0,12.42,0
Paddle - bo_13,246,500,20,2,1,4.62,0
Paddle - bo_13,247,500,90,9,9,22.49,0
Paddle - bo_13,248,500,60,6,2,5.72,0
Paddle - bo_13,249,500,10,1,0,1.11,0
Paddle - bo_13,250,500,70,7,2,17.73,0
Paddle - bo_13,251,500,10,1,0,1.2,0
Paddle - bo_13,252,500,130,13,1,7.4,0
Paddle - bo_13,253,500,90,9,2,12.66,0
Paddle - bo_13,254,500,80,8,0,3.24,0
Paddle - bo_13,255,500,130,13,1,5.59,0
Paddle - bo_13,256,500,20,2,1,4.2,0
Paddle - bo_13,257,500,10,1,1,0.95,0
Paddle - bo_13,258,500,10,1,0,0.62,0
Paddle - bo_13,259,500,80,8,15,13.33,0
Paddle - bo_13,260,500,190,19,1,22.2,0
Paddle - bo_13,261,500,170,17,2,16.37,0
Paddle - bo_13,262,500,110,11,2,7.89,0
Paddle - bo_13,263,500,10,1,1,3.72,0
Paddle - bo_13,264,500,100,10,0,4.16,0
Paddle - bo_13,265,500,30,3,0,2.89,0
Paddle - bo_13,266,500,110,11,2,6.39,0
Paddle - bo_13,267,500,70,7,0,5.05,0
Paddle - bo_13,268,500,110,11,0,4.28,0
Paddle - bo_13,269,500,90,9,0,6.75,0
Paddle - bo_13,270,500,170,17,7,24.25,0
Paddle - bo_13,271,500,10,1,2,3.19,0
Paddle - bo_13,272,500,90,9,1,4.81,0
Paddle - bo_13,273,500,10,1,2,3.21,0
Paddle - bo_13,274,500,20,2,1,2.99,0
Paddle - bo_13,275,500,190,19,1,11.48,0
Paddle - bo_13,276,500,20,2,1,1.85,0
Paddle - bo_13,277,500,40,4,2,6.47,0
Paddle - bo_13,278,500,10,1,0,0.47,0
Paddle - bo_13,279,500,130,13,4,10.87,0
Paddle - bo_13,280,500,30,3,1,2.38,0
Paddle - bo_13,281,500,90,9,1,11.52,0
Paddle - bo_13,282,500,110,11,2,10.82,0
Paddle - bo_13,283,500,20,2,1,2.26,0
Paddle - bo_13,284,500,70,7,0,6.97,0
Paddle - bo_13,285,500,10,1,0,1.82,0
Paddle - bo_13,286,500,10,1,0,0.56,0
Paddle - bo_13,287,500,10,1,0,1.05,0
Paddle - bo_13,288,500,130,13,0,10.19,0
Paddle - bo_13,289,500,30,3,3,5.22,0
Paddle - bo_13,290,500,10,1,2,4.46,0
