ModelName,GameNumber,NumGamesPlayed,Score,BlockHits,PaddleHits,TimePlayed,WinStatus
Paddle - bo_13,1,1398,20,2,1,100.1,0
Paddle - bo_13,2,1398,20,2,1,2.39,0
Paddle - bo_13,3,1398,90,9,0,4.97,0
Paddle - bo_13,4,1398,70,7,1,5.14,0
Paddle - bo_13,5,1398,10,1,0,0.6,0
Paddle - bo_13,6,1398,110,11,1,5.31,0
Paddle - bo_13,7,1398,30,3,40,61.92,0
Paddle - bo_13,8,1398,10,1,2,3.47,0
Paddle - bo_13,9,1398,110,11,4,17.59,0
Paddle - bo_13,10,1398,10,1,0,0.84,0
Paddle - bo_13,11,1398,10,1,0,0.69,0
Paddle - bo_13,12,1398,20,2,1,3.16,0
Paddle - bo_13,13,1398,130,13,2,11.81,0
Paddle - bo_13,14,1398,150,15,2,10.93,0
Paddle - bo_13,15,1398,10,1,2,3.61,0
Paddle - bo_13,16,1398,110,11,1,10.35,0
Paddle - bo_13,17,1398,10,1,0,0.46,0
Paddle - bo_13,18,1398,10,1,0,1.34,0
Paddle - bo_13,19,1398,10,1,1,2.73,0
Paddle - bo_13,20,1398,40,4,0,5.34,0
Paddle - bo_13,21,1398,80,8,0,5.94,0
Paddle - bo_13,22,1398,40,4,0,1.82,0
Paddle - bo_13,23,1398,200,20,3,21.12,0
Paddle - bo_13,24,1398,70,7,1,5.62,0
Paddle - bo_13,25,1398,10,1,1,2.57,0
Paddle - bo_13,26,1398,10,1,0,1.3,0
Paddle - bo_13,27,1398,10,1,0,2.4,0
Paddle - bo_13,28,1398,20,2,1,2.89,0
Paddle - bo_13,29,1398,20,2,1,3.53,0
Paddle - bo_13,30,1398,110,11,1,11.43,0
Paddle - bo_13,31,1398,20,2,2,3.71,0
Paddle - bo_13,32,1398,180,18,1,20.57,0
Paddle - bo_13,33,1398,100,10,1,12.35,0
Paddle - bo_13,34,1398,10,1,2,8.17,0
Paddle - bo_13,35,1398,70,7,1,6.16,0
Paddle - bo_13,36,1398,160,16,1,7.7,0
Paddle - bo_13,37,1398,150,15,2,14.39,0
Paddle - bo_13,38,1398,90,9,1,12.82,0
Paddle - bo_13,39,1398,40,4,1,3.31,0
Paddle - bo_13,40,1398,20,2,1,3.15,0
Paddle - bo_13,41,1398,10,1,0,0.44,0
Paddle - bo_13,42,1398,10,1,2,3.53,0
Paddle - bo_13,43,1398,10,1,0,0.58,0
Paddle - bo_13,44,1398,10,1,0,0.58,0
Paddle - bo_13,45,1398,60,6,0,14.25,0
