ModelName,NumGamesPlayed,ID_RunTime,Statistic,Score,BlockHits,PaddleHits,TimePlayed,WinPercentage
Paddle - lc_25,2000,2/28/2021 12:59:53 AM,Minimum,0,0,0,0.18,0.265
Paddle - lc_25,2000,2/28/2021 12:59:53 AM,Average,144.84,14.48,6.82,24.73,0.265
Paddle - lc_25,2000,2/28/2021 12:59:53 AM,Maximum,210,21,197,371.39,0.265
