ModelName,GameNumber,ID_RunTime,NumGamesPlayed,Score,BlockHits,PaddleHits,TimePlayed,WinStatus
Paddle - bo_13,1,150,2/16/2021 9:33:47 PM,40,4,1,101.92,0
Paddle - bo_13,2,150,2/16/2021 9:33:47 PM,10,1,2,2.93,0
Paddle - bo_13,3,150,2/16/2021 9:33:47 PM,130,13,1,14.03,0
Paddle - bo_13,4,150,2/16/2021 9:33:47 PM,100,10,2,12.42,0
Paddle - bo_13,5,150,2/16/2021 9:33:47 PM,10,1,0,0.72,0
Paddle - bo_13,6,150,2/16/2021 9:33:47 PM,10,1,2,3.39,0
Paddle - bo_13,7,150,2/16/2021 9:33:47 PM,150,15,3,11.58,0
Paddle - bo_13,8,150,2/16/2021 9:33:47 PM,90,9,1,8.45,0
Paddle - bo_13,9,150,2/16/2021 9:33:47 PM,90,9,0,5.3,0
Paddle - bo_13,10,150,2/16/2021 9:33:47 PM,70,7,1,4.79,0
Paddle - bo_13,11,150,2/16/2021 9:33:47 PM,20,2,1,4.25,0
Paddle - bo_13,12,150,2/16/2021 9:33:47 PM,20,2,2,3.01,0
Paddle - bo_13,13,150,2/16/2021 9:33:47 PM,60,6,1,3.11,0
Paddle - bo_13,14,150,2/16/2021 9:33:47 PM,10,1,0,1.3,0
Paddle - bo_13,15,150,2/16/2021 9:33:47 PM,140,14,2,13.02,0
Paddle - bo_13,16,150,2/16/2021 9:33:47 PM,10,1,0,1.54,0
Paddle - bo_13,17,150,2/16/2021 9:33:47 PM,10,1,0,1.28,0
Paddle - bo_13,18,150,2/16/2021 9:33:47 PM,30,3,1,4.75,0
Paddle - bo_13,19,150,2/16/2021 9:33:47 PM,10,1,2,2.67,0
Paddle - bo_13,20,150,2/16/2021 9:33:47 PM,10,1,0,1.02,0
Paddle - bo_13,21,150,2/16/2021 9:33:47 PM,150,15,2,15.49,0
Paddle - bo_13,22,150,2/16/2021 9:33:47 PM,80,8,6,17.15,0
Paddle - bo_13,23,150,2/16/2021 9:33:47 PM,90,9,1,11.07,0
Paddle - bo_13,24,150,2/16/2021 9:33:47 PM,140,14,1,13.9,0
Paddle - bo_13,25,150,2/16/2021 9:33:47 PM,10,1,0,0.72,0
Paddle - bo_13,26,150,2/16/2021 9:33:47 PM,110,11,3,14.43,0
Paddle - bo_13,27,150,2/16/2021 9:33:47 PM,150,15,1,18.34,0
Paddle - bo_13,28,150,2/16/2021 9:33:47 PM,60,6,0,2.47,0
Paddle - bo_13,29,150,2/16/2021 9:33:47 PM,90,9,3,14.14,0
Paddle - bo_13,30,150,2/16/2021 9:33:47 PM,190,19,2,38.36,0
Paddle - bo_13,31,150,2/16/2021 9:33:47 PM,170,17,0,6.31,0
Paddle - bo_13,32,150,2/16/2021 9:33:47 PM,10,1,0,1.22,0
Paddle - bo_13,33,150,2/16/2021 9:33:47 PM,10,1,2,2.71,0
Paddle - bo_13,34,150,2/16/2021 9:33:47 PM,70,7,1,4.65,0
Paddle - bo_13,35,150,2/16/2021 9:33:47 PM,50,5,1,5.12,0
Paddle - bo_13,36,150,2/16/2021 9:33:47 PM,60,6,1,6.1,0
Paddle - bo_13,37,150,2/16/2021 9:33:47 PM,140,14,1,8.75,0
Paddle - bo_13,38,150,2/16/2021 9:33:47 PM,20,2,1,3.87,0
Paddle - bo_13,39,150,2/16/2021 9:33:47 PM,140,14,7,22.75,0
Paddle - bo_13,40,150,2/16/2021 9:33:47 PM,80,8,0,3.45,0
Paddle - bo_13,41,150,2/16/2021 9:33:47 PM,80,8,2,5.32,0
Paddle - bo_13,42,150,2/16/2021 9:33:47 PM,10,1,0,0.5,0
Paddle - bo_13,43,150,2/16/2021 9:33:47 PM,10,1,0,2.15,0
Paddle - bo_13,44,150,2/16/2021 9:33:47 PM,70,7,0,2.11,0
Paddle - bo_13,45,150,2/16/2021 9:33:47 PM,10,1,1,2.73,0
Paddle - bo_13,46,150,2/16/2021 9:33:47 PM,10,1,2,2.93,0
Paddle - bo_13,47,150,2/16/2021 9:33:47 PM,100,10,1,3.41,0
Paddle - bo_13,48,150,2/16/2021 9:33:47 PM,10,1,1,1.08,0
Paddle - bo_13,49,150,2/16/2021 9:33:47 PM,80,8,1,6.04,0
Paddle - bo_13,50,150,2/16/2021 9:33:47 PM,20,2,1,3.51,0
Paddle - bo_13,51,150,2/16/2021 9:33:47 PM,110,11,1,14.62,0
Paddle - bo_13,52,150,2/16/2021 9:33:47 PM,10,1,1,3.23,0
Paddle - bo_13,53,150,2/16/2021 9:33:47 PM,170,17,3,9.77,0
Paddle - bo_13,54,150,2/16/2021 9:33:47 PM,30,3,0,3.01,0
Paddle - bo_13,55,150,2/16/2021 9:33:47 PM,10,1,13,21.61,0
Paddle - bo_13,56,150,2/16/2021 9:33:47 PM,50,5,0,2.37,0
Paddle - bo_13,57,150,2/16/2021 9:33:47 PM,150,15,1,9.59,0
Paddle - bo_13,58,150,2/16/2021 9:33:47 PM,70,7,2,6.62,0
Paddle - bo_13,59,150,2/16/2021 9:33:47 PM,10,1,0,0.66,0
Paddle - bo_13,60,150,2/16/2021 9:33:47 PM,10,1,2,4.89,0
Paddle - bo_13,61,150,2/16/2021 9:33:47 PM,10,1,3,7.1,0
