ModelName,GameNumber,ID_RunTime,NumGamesPlayed,Score,BlockHits,PaddleHits,TimePlayed,WinStatus
Paddle - lc_24,1,2000,2/28/2021 2:12:44 AM,90,9,1,115.73,0
Paddle - lc_24,2,2000,2/28/2021 2:12:44 AM,150,15,6,11.16,0
Paddle - lc_24,3,2000,2/28/2021 2:12:44 AM,60,6,6,17.4,0
Paddle - lc_24,4,2000,2/28/2021 2:12:44 AM,100,10,5,7.18,0
Paddle - lc_24,5,2000,2/28/2021 2:12:44 AM,110,11,1,7.3,0
Paddle - lc_24,6,2000,2/28/2021 2:12:44 AM,30,3,4,4.03,0
Paddle - lc_24,7,2000,2/28/2021 2:12:44 AM,210,21,8,26.38,1
Paddle - lc_24,8,2000,2/28/2021 2:12:44 AM,40,4,0,2.28,0
Paddle - lc_24,9,2000,2/28/2021 2:12:44 AM,20,2,2,3.21,0
Paddle - lc_24,10,2000,2/28/2021 2:12:44 AM,190,19,4,20.39,0
Paddle - lc_24,11,2000,2/28/2021 2:12:44 AM,190,19,3,18.1,0
Paddle - lc_24,12,2000,2/28/2021 2:12:44 AM,190,19,8,14.19,0
Paddle - lc_24,13,2000,2/28/2021 2:12:44 AM,140,14,12,37.85,0
Paddle - lc_24,14,2000,2/28/2021 2:12:44 AM,20,2,1,3.69,0
Paddle - lc_24,15,2000,2/28/2021 2:12:44 AM,160,16,4,25.29,0
Paddle - lc_24,16,2000,2/28/2021 2:12:44 AM,100,10,3,6.81,0
Paddle - lc_24,17,2000,2/28/2021 2:12:44 AM,170,17,6,11.14,0
Paddle - lc_24,18,2000,2/28/2021 2:12:44 AM,110,11,8,10.98,0
Paddle - lc_24,19,2000,2/28/2021 2:12:44 AM,100,10,1,9.56,0
Paddle - lc_24,20,2000,2/28/2021 2:12:44 AM,200,20,12,38.48,0
Paddle - lc_24,21,2000,2/28/2021 2:12:44 AM,20,2,0,2.05,0
Paddle - lc_24,22,2000,2/28/2021 2:12:44 AM,90,9,1,9.42,0
Paddle - lc_24,23,2000,2/28/2021 2:12:44 AM,210,21,11,33.13,1
Paddle - lc_24,24,2000,2/28/2021 2:12:44 AM,130,13,3,8.68,0
Paddle - lc_24,25,2000,2/28/2021 2:12:44 AM,210,21,10,33.07,1
Paddle - lc_24,26,2000,2/28/2021 2:12:44 AM,40,4,3,5.63,0
