ModelName,NumGamesPlayed,ID_RunTime,Statistic,Score,BlockHits,PaddleHits,TimePlayed,WinPercentage
Paddle - bo_13,150,2/16/2021 9:33:47 PM,Minimum,0,0,0,0.28,0
Paddle - bo_13,150,2/16/2021 9:33:47 PM,Average,62.07,6.21,1.27,7.2,0
Paddle - bo_13,150,2/16/2021 9:33:47 PM,Maximum,190,19,14,101.92,0
